
Rate modification view 1:

			Reaction			 Modification Factor 
al32 -> n + si31 + electron + anti-neutrino_e            0.0000e+00
al33 -> n + si32 + electron + anti-neutrino_e            0.0000e+00
al34 -> n + n + si32 + electron + anti-neutrino_e        0.0000e+00
al34 -> n + si33 + electron + anti-neutrino_e            0.0000e+00
al35 -> n + n + si33 + electron + anti-neutrino_e        0.0000e+00
al35 -> n + si34 + electron + anti-neutrino_e            0.0000e+00
al36 -> n + n + si34 + electron + anti-neutrino_e        0.0000e+00
al36 -> n + si35 + electron + anti-neutrino_e            0.0000e+00
al37 -> n + n + n + si34 + electron + anti-neutrino_e    0.0000e+00
al37 -> n + n + si35 + electron + anti-neutrino_e        0.0000e+00
al37 -> n + si36 + electron + anti-neutrino_e            0.0000e+00
al38 -> n + n + n + si35 + electron + anti-neutrino_e    0.0000e+00
al38 -> n + n + si36 + electron + anti-neutrino_e        0.0000e+00
al38 -> n + si37 + electron + anti-neutrino_e            0.0000e+00
al39 -> n + n + n + si36 + electron + anti-neutrino_e    0.0000e+00
al39 -> n + n + si37 + electron + anti-neutrino_e        0.0000e+00
al39 -> n + si38 + electron + anti-neutrino_e            0.0000e+00
al40 -> n + n + n + si37 + electron + anti-neutrino_e    0.0000e+00
al40 -> n + n + si38 + electron + anti-neutrino_e        0.0000e+00
al40 -> n + si39 + electron + anti-neutrino_e            0.0000e+00
al41 -> n + n + n + si38 + electron + anti-neutrino_e    0.0000e+00
al41 -> n + n + si39 + electron + anti-neutrino_e        0.0000e+00
al41 -> n + si40 + electron + anti-neutrino_e            0.0000e+00
al42 -> n + n + n + si39 + electron + anti-neutrino_e    0.0000e+00
al42 -> n + n + si40 + electron + anti-neutrino_e        0.0000e+00
al42 -> n + si41 + electron + anti-neutrino_e            0.0000e+00
al43 -> n + n + n + si40 + electron + anti-neutrino_e    0.0000e+00
al43 -> n + n + si41 + electron + anti-neutrino_e        0.0000e+00
al43 -> n + si42 + electron + anti-neutrino_e            0.0000e+00
al44 -> n + si43 + electron + anti-neutrino_e            0.0000e+00
al45 -> n + n + si43 + electron + anti-neutrino_e        0.0000e+00
al45 -> n + si44 + electron + anti-neutrino_e            0.0000e+00
al46 -> n + si45 + electron + anti-neutrino_e            0.0000e+00
al47 -> n + n + si45 + electron + anti-neutrino_e        0.0000e+00
al48 -> n + si47 + electron + anti-neutrino_e            0.0000e+00
al49 -> n + n + si47 + electron + anti-neutrino_e        0.0000e+00
al50 -> n + si49 + electron + anti-neutrino_e            0.0000e+00
